id,GIS_ID,NUTZUNG,JAHR,crop_type,crop_code,geometry,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_20,NDVI_21
100,332605,Sonnenblumen zur Speiseölgewinnung,2019,Sunflower,1,POINT (480681.3744252655 5253738.096043844),0.164126611957796,0.17784256559766762,0.1817102137767221,0.17099056603773582,0.1764018691588785,0.1697438951756999,0.20023487962419254,0.18772563176895307,0.1763982790411801,0.17023809523809527,0.17543859649122806,0.19123741859088225,0.1945107398568019,0.16937914406268836,0.18083832335329342,0.1938168846611177,0.18396226415094344,0.20728126834997063,0.17873831775700935,0.1943957968476357,0.18171296296296302
4876,332605,Sonnenblumen zur Speiseölgewinnung,2019,Sunflower,1,POINT (480681.9025076173 5253681.872414427),0.2497712717291857,0.2624828218048557,0.25800548947849955,0.2407582938388626,0.234102684879887,0.2406466512702078,0.23742360131640802,0.2491694352159468,0.25884016973125884,0.23743660673121253,0.23492349234923496,0.2440366972477064,0.24515824279641002,0.25415676959619954,0.24186046511627907,0.2555350553505535,0.2544540886249429,0.24573536191793455,0.24189063948100098,0.23730378578024006,0.25482807348092323
9481,332456,Winterraps zur Speiseölgewinnung,2019,Canola,4,POINT (480736.9591835022 5253799.866321228),0.4422560429722472,0.42635658914728675,0.44767694311767264,0.42666666666666664,0.44370860927152317,0.4244288224956063,0.43697848045674126,0.4446892904363156,0.42498880429914915,0.4601497137824747,0.4365460095944178,0.4506283662477559,0.41889483065953653,0.45323741007194257,0.43239625167336004,0.44146559428060766,0.4387351778656126,0.45054945054945056,0.44088775074690567,0.4565682498930253,0.44924977934686666
4828,324111,Kartoffeln,2019,Potato,7,POINT (478372.5515513247 5250656.258986275),0.21790090570058598,0.22168545356951153,0.1762820512820513,0.18562874251497005,0.18688524590163932,0.1803450078410873,0.19320594479830147,0.20919798093101513,0.18657127132636211,0.18004338394793928,0.1959852086634971,0.17962466487935658,0.19512195121951223,0.1989010989010989,0.20540540540540536,0.19508284339925175,0.17937927406628093,0.17666483214089157,0.19529159978598182,0.1985255397577673,0.1836065573770492
8325,106508,Silo- und Grünmais,2019,Silage Maize,3,POINT (473554.7484812909 5251062.164413576),0.33076923076923076,0.3645890788747931,0.3411501954215522,0.34428086070215175,0.34431818181818186,0.3314794215795328,0.34307359307359303,0.3674630261660978,0.3317945758799769,0.3373961218836565,0.34959349593495936,0.34961154273029965,0.3529745042492918,0.32748538011695905,0.3515981735159817,0.3634311512415349,0.339265850945495,0.3522355507088331,0.35694210230466555,0.3466666666666667,0.3386363636363637
1316,346197,Kartoffeln,2019,Potato,7,POINT (473592.1770813239 5254463.666445006),0.39448568398727457,0.3887399463806971,0.3843750000000001,0.38427707531610783,0.3851971907077255,0.37315010570824525,0.3823845327604727,0.39614325068870526,0.3673469387755101,0.38847385272145135,0.4000000000000001,0.37975361542581676,0.38990332975295383,0.37533948940793055,0.36551724137931035,0.3708108108108108,0.3803418803418804,0.38247863247863245,0.3825222396650968,0.4098185699039487,0.3890987587695628
5927,265929,Winterweizen ohne Futterweizen swissgranum,2019,Winter Wheat,2,POINT (473602.8931866609 5254495.804645175),0.4795978710821998,0.5026392961876834,0.46460821438974653,0.47521865889212817,0.4829326209557732,0.4607142857142857,0.4898883187443404,0.4821155609905228,0.4766299493896993,0.493905977945444,0.4954585408731322,0.480701754385965,0.46782178217821774,0.46089124337799947,0.4929906542056075,0.48121857438627624,0.5029655990510083,0.50091519219036,0.4783111625216888,0.4918032786885247,0.48588410104011875
5884,103957,Winterweizen ohne Futterweizen swissgranum,2019,Winter Wheat,2,POINT (473708.8785494839 5255586.542269908),0.8541199900423202,0.857961624719661,0.8516349438750611,0.8476482617586912,0.8527363184079602,0.8446362515413072,0.860122699386503,0.837784371909001,0.8420649118323538,0.8561257058679107,0.8438481991781485,0.8514899853444066,0.8516649848637741,0.8604890604890604,0.8418467583497052,0.8581166372128249,0.8377331072899006,0.8396088019559903,0.8561438561438562,0.8350315380883068,0.8357536304456685
1521,110528,Winterweizen ohne Futterweizen swissgranum,2019,Winter Wheat,2,POINT (473563.7616400519 5249791.630940846),0.7412124299541517,0.7273193234238851,0.7469135802469135,0.733852140077821,0.7234530175706646,0.7322596879718167,0.7239635995955511,0.7171503957783643,0.7265047518479408,0.737477523760596,0.7370030581039756,0.7433537832310838,0.7375423949908687,0.7306379627198739,0.7209302325581396,0.740970072239422,0.7237176231589639,0.7636503460651116,0.7325492201482996,0.7452326468344777,0.7264028963020429
1860,107795,Winterweizen ohne Futterweizen swissgranum,2019,Winter Wheat,2,POINT (473610.9097358478 5250958.669709681),0.8321387283236994,0.8262257696693271,0.834473001650554,0.8303821062441753,0.8346363420990287,0.8358997931509997,0.8418734059819151,0.8225806451612904,0.8405203565405925,0.8238341968911918,0.8333728934251127,0.838456040028592,0.8384506376948512,0.8434698328083354,0.8334858188472096,0.8356486931951966,0.8329466357308584,0.8392402131109566,0.8333333333333333,0.836185261236596,0.8263725950258096
